The number of bases of the vector space Z3 over Z2 is: 168
1. ( [0, 0, 1] [0, 1, 0] [1, 0, 0] )
2. ( [0, 0, 1] [0, 1, 0] [1, 0, 1] )
3. ( [0, 0, 1] [0, 1, 0] [1, 1, 0] )
4. ( [0, 0, 1] [0, 1, 0] [1, 1, 1] )
5. ( [0, 0, 1] [0, 1, 1] [1, 0, 0] )
6. ( [0, 0, 1] [0, 1, 1] [1, 0, 1] )
7. ( [0, 0, 1] [0, 1, 1] [1, 1, 0] )
8. ( [0, 0, 1] [0, 1, 1] [1, 1, 1] )
9. ( [0, 0, 1] [1, 0, 0] [0, 1, 0] )
10. ( [0, 0, 1] [1, 0, 0] [0, 1, 1] )
11. ( [0, 0, 1] [1, 0, 0] [1, 1, 0] )
12. ( [0, 0, 1] [1, 0, 0] [1, 1, 1] )
13. ( [0, 0, 1] [1, 0, 1] [0, 1, 0] )
14. ( [0, 0, 1] [1, 0, 1] [0, 1, 1] )
15. ( [0, 0, 1] [1, 0, 1] [1, 1, 0] )
16. ( [0, 0, 1] [1, 0, 1] [1, 1, 1] )
17. ( [0, 0, 1] [1, 1, 0] [0, 1, 0] )
18. ( [0, 0, 1] [1, 1, 0] [0, 1, 1] )
19. ( [0, 0, 1] [1, 1, 0] [1, 0, 0] )
20. ( [0, 0, 1] [1, 1, 0] [1, 0, 1] )
21. ( [0, 0, 1] [1, 1, 1] [0, 1, 0] )
22. ( [0, 0, 1] [1, 1, 1] [0, 1, 1] )
23. ( [0, 0, 1] [1, 1, 1] [1, 0, 0] )
24. ( [0, 0, 1] [1, 1, 1] [1, 0, 1] )
25. ( [0, 1, 0] [0, 0, 1] [1, 0, 0] )
26. ( [0, 1, 0] [0, 0, 1] [1, 0, 1] )
27. ( [0, 1, 0] [0, 0, 1] [1, 1, 0] )
28. ( [0, 1, 0] [0, 0, 1] [1, 1, 1] )
29. ( [0, 1, 0] [0, 1, 1] [1, 0, 0] )
30. ( [0, 1, 0] [0, 1, 1] [1, 0, 1] )
31. ( [0, 1, 0] [0, 1, 1] [1, 1, 0] )
32. ( [0, 1, 0] [0, 1, 1] [1, 1, 1] )
33. ( [0, 1, 0] [1, 0, 0] [0, 0, 1] )
34. ( [0, 1, 0] [1, 0, 0] [0, 1, 1] )
35. ( [0, 1, 0] [1, 0, 0] [1, 0, 1] )
36. ( [0, 1, 0] [1, 0, 0] [1, 1, 1] )
37. ( [0, 1, 0] [1, 0, 1] [0, 0, 1] )
38. ( [0, 1, 0] [1, 0, 1] [0, 1, 1] )
39. ( [0, 1, 0] [1, 0, 1] [1, 0, 0] )
40. ( [0, 1, 0] [1, 0, 1] [1, 1, 0] )
41. ( [0, 1, 0] [1, 1, 0] [0, 0, 1] )
42. ( [0, 1, 0] [1, 1, 0] [0, 1, 1] )
43. ( [0, 1, 0] [1, 1, 0] [1, 0, 1] )
44. ( [0, 1, 0] [1, 1, 0] [1, 1, 1] )
45. ( [0, 1, 0] [1, 1, 1] [0, 0, 1] )
46. ( [0, 1, 0] [1, 1, 1] [0, 1, 1] )
47. ( [0, 1, 0] [1, 1, 1] [1, 0, 0] )
48. ( [0, 1, 0] [1, 1, 1] [1, 1, 0] )
49. ( [0, 1, 1] [0, 0, 1] [1, 0, 0] )
