SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_Female,gender_Male
0,1,0,-1.2774445836787656,0,0,1,2,1,1,1,1,1,-1.1603229160349193,-0.9949713816319787,0,True,False,False,True,False,False,False,False,True,False,True,False
0,0,0,0.06632741908223598,1,1,2,1,2,1,1,1,0,-0.2596289419448806,-0.1738756538019684,0,True,False,False,False,True,False,False,False,False,True,False,True
0,0,0,-1.2367242199587352,1,1,2,2,1,1,1,1,1,-0.3626603559551803,-0.9603993947048204,1,True,False,False,True,False,False,False,False,False,True,False,True
0,0,0,0.5142514200025698,0,0,2,1,2,2,1,1,0,-0.7465354629935549,-0.19540035830642513,0,True,False,False,False,True,False,True,False,False,False,False,True
0,0,0,-1.2367242199587352,1,1,1,1,1,1,1,1,1,0.19736523310080326,-0.9411927353008436,1,False,True,False,True,False,False,False,False,True,False,True,False
0,0,0,-0.9924020376385531,1,2,1,1,2,1,2,2,1,1.1595456961969886,-0.645873789499697,1,False,True,False,True,False,False,False,False,True,False,True,False
0,0,1,-0.4223169455581282,1,2,1,2,1,1,2,1,1,0.8089065291619363,-0.14742786303649225,0,False,True,False,True,False,False,False,True,False,False,False,True
0,0,0,-0.9109613101984924,0,0,2,1,1,1,1,1,0,-1.1636465100352518,-0.8748524921871077,0,True,False,False,True,False,False,False,False,False,True,True,False
0,1,0,-0.1779947632379461,1,2,1,1,2,2,2,2,1,1.330710787214099,0.3367786435237642,1,False,True,False,True,False,False,False,False,True,False,True,False
0,0,1,1.2064976032430856,1,1,2,2,1,1,1,1,0,-0.28621769394753876,0.5318918111241627,0,True,False,False,False,True,False,True,False,False,False,False,True
0,1,1,-0.7888002190384014,1,1,2,1,1,1,1,1,1,-0.4922805219681379,-0.7487729153410025,0,True,False,False,True,False,False,False,False,False,True,False,True
0,0,0,-0.6666391278783103,1,1,0,0,0,0,0,0,0,-1.5225946620711341,-0.8638583354248314,0,False,False,True,False,False,True,False,True,False,False,False,True
0,1,0,1.0436161483629645,1,2,1,1,2,1,2,2,0,1.182810854199314,1.5002385943846621,0,False,True,False,False,True,False,False,True,False,False,False,True
0,0,0,0.6771328748826912,1,2,1,2,2,1,2,2,1,1.2941512532104444,1.215538502805714,1,False,True,False,True,False,False,True,False,False,False,False,True
0,0,0,-0.30015585439803716,1,1,2,1,2,2,2,2,1,1.3539759452164248,0.17782697949085274,0,False,True,False,True,False,False,False,False,True,False,False,True
0,1,1,1.4915401492832983,1,2,2,2,2,2,2,2,0,1.611554480242174,2.4778134048070717,0,False,True,False,False,False,True,False,True,False,False,True,False
0,0,0,0.7992939660427822,1,1,0,0,0,0,0,0,0,-1.4660935640654862,-0.5564855551011889,0,False,False,True,False,True,False,False,False,False,True,True,False
0,0,1,1.5729808767233588,1,2,2,1,2,1,2,2,0,1.393859073220412,2.251351436800182,0,False,True,False,False,False,True,True,False,False,False,False,True
0,1,1,-0.9109613101984924,1,1,1,1,2,2,1,1,0,-0.31779183695069496,-0.7748674801864056,1,True,False,False,True,False,False,False,True,False,False,True,False
0,0,0,-0.46303730927815856,1,1,1,2,2,1,1,2,1,0.8404806721650927,-0.18562041564440013,0,False,True,False,True,False,False,False,False,True,False,True,False
